title,year,genres
Year One,2009,"Comedy,Adventure"
Tre di troppo,2023,Comedy
Rage,2014,"Action,Crime,Thriller"
Benedetta,2021,"Drama,History,Romance"
Triple Threat,2019,"Thriller,Action"
Kill Switch,2017,"Science Fiction,Action,Thriller"
The Hunt,2020,"Action,Thriller,Horror"
Bayala: A Magical Adventure,2019,"Adventure,Animation,Family,Fantasy"
Shaun the Sheep: The Flight Before Christmas,2021,"Animation,Comedy,Family"
An Affair: Kind Daughters-in-law,2018,Romance
Renegades,2017,"Thriller,Action"
Wheels on Meals,1984,"Romance,Action,Comedy,Crime"
Winnie the Pooh: A Very Merry Pooh Year,2002,"Animation,Family"
Pooh's Heffalump Movie,2005,"Family,Animation,Comedy,Fantasy"
Lie with Me,2005,Drama
The Lobster,2015,"Comedy,Drama,Romance"
Ronal the Barbarian,2011,"Animation,Adventure,Fantasy"
Robin Hood,2018,"Adventure,Action,Thriller"
Couples Retreat,2009,"Comedy,Romance"
The K.E.O.P/S System,2022,"Drama,Thriller,Comedy"
Camp Hideout,2023,"Family,Comedy"
Peligro en tu mirada,2021,"Drama,Thriller"
An Ordinary Man,2017,"Action,Drama,War"
The Road,2009,"Adventure,Drama"
Déjà Vu,2006,"Action,Thriller,Science Fiction"
Captain Underpants: The First Epic Movie,2017,"Action,Animation,Comedy,Family"
Pokémon Heroes,2002,"Animation,Adventure,Action,Fantasy"
Beetlejuice Beetlejuice,2024,"Comedy,Fantasy"
X,2011,"Action,Thriller,Romance"
A Monster Calls,2016,"Drama,Fantasy"
"The Simpsons: The Good, the Bart, and the Loki",2021,"Animation,Comedy,Family"
The Bear,1988,"Adventure,Drama,Family"
The Dreamers,2003,"Drama,Romance"
Wet Woman in the Wind,2016,"Romance,Drama"
The Royal Treatment,2022,"Romance,Comedy"
Mile 22,2018,"Action,Thriller"
The Ages of Lulu,1990,Drama
The Power of the Dog,2021,"Western,Drama"
Love at First Sight,2023,"Romance,Drama"
Paranormal Movie,2013,Comedy
RED 2,2013,"Action,Comedy,Crime,Thriller"
50/50,2011,"Comedy,Drama"
I Got A Monster,2023,Documentary
The Babadook,2014,"Drama,Horror"
The Green Inferno,2013,"Horror,Thriller,Adventure"
The Omen,2006,Horror
Zookeeper,2011,"Comedy,Romance,Family"
A Trash Truck Christmas,2020,"Animation,Adventure,Family"
Grand marin,2023,Drama
Joy Ride,2001,"Mystery,Thriller,Drama"
The Mechanic,2011,"Action,Thriller,Crime"
"Silent Night, Deadly Night",1984,"Thriller,Horror"
I Can Only Imagine,2018,"Music,Drama"
The Last of the Mohicans,1992,"Action,Adventure,Drama,History,Romance,War"
Out of the Clear Blue Sky,2019,"Comedy,Drama,Music"
Ghostbusters,1984,"Comedy,Fantasy"
G-Zombie,2021,"Horror,Fantasy,Comedy"
Space Pirate Captain Harlock,2013,"Animation,Science Fiction"
Birthday Sex,2012,"Drama,Romance"
Rough Night,2017,"Drama,Comedy"
Outlaws,2021,Crime
The Marco Effect,2021,"Thriller,Crime"
Tenor,2022,"Comedy,Drama"
Into the Blue,2005,"Action,Thriller,Adventure,Crime"
The Man from Nowhere,2010,"Action,Thriller,Crime"
The Black Cauldron,1985,"Animation,Adventure,Family"
Molly's Game,2017,"Drama,Crime"
Casino,1995,"Crime,Drama"
Pom Poko,1994,"Adventure,Animation,Fantasy"
The Water Horse,2007,"Family,Adventure,Fantasy"
Little,2019,"Comedy,Fantasy,Romance"
The Anthem of the Heart,2015,"Animation,Drama,Music,Romance"
Dragon Ball & Dr. Slump Special,1997,"Animation,Action,Comedy,Science Fiction"
Beautiful Teacher in Torture Hell,1985,"Drama,Thriller,Horror"
My Daughter's Lover 3,2019,Romance
Strange Way of Life,2023,"Drama,Western"
Armageddon Time,2022,Drama
Transformers Prime Beast Hunters: Predacons Rising,2013,"Action,Animation,Science Fiction"
Barbie in the Pink Shoes,2013,"Animation,Family"
Snatch,2000,"Crime,Comedy"
Panchathantram,2022,"Comedy,Drama,Family"
12 Hour Shift,2020,"Thriller,Horror,Comedy,Crime"
Idiocracy,2006,"Comedy,Science Fiction,Adventure"
The Little Rascals,1994,"Romance,Comedy,Family"
Scooby-Doo! and the Curse of the 13th Ghost,2019,"Comedy,Family,Animation,Adventure,Mystery"
The Hate U Give,2018,"Crime,Drama"
Crazy Rich Asians,2018,"Comedy,Drama,Romance"
La uruguaya,2022,Drama
80 for Brady,2023,Comedy
A Time to Kill,1996,"Crime,Drama,Thriller"
Arthur Christmas,2011,"Drama,Animation,Family,Comedy"
Miss Congeniality,2000,"Comedy,Crime,Action"
Prom Night,2008,"Horror,Drama,Mystery"
Remaking the Legend: Halo 2 Anniversary,2014,"Science Fiction,Documentary"
Gifted Hands: The Ben Carson Story,2009,Drama
Tyson's Run,2022,Drama
Time Travel Mater,2012,"Animation,Family"
Underwater,2020,"Action,Horror,Science Fiction"
Coming 2 America,2021,Comedy
Puss in Book: Trapped in an Epic Tale,2017,"Family,Fantasy,Animation,Comedy,Adventure"
Once Upon a Time in Mexico,2003,"Action,Drama,Mystery"
In This Corner of the World,2016,"Drama,Animation,Romance,War,History"
Like an Actress,2023,"Fantasy,Drama"
Billy Elliot,2000,"Drama,Comedy,Music"
Sex Drive,2008,"Comedy,Adventure,Romance"
They Live,1988,"Science Fiction,Action"
Saw,2003,"Crime,Horror,Thriller"
Big Eyes,2014,Drama
La Femme Nikita,1990,"Action,Thriller"
Phineas and Ferb: The Movie: Across the 2nd Dimension,2011,"Animation,Comedy,Family,TV Movie,Adventure,Science Fiction"
Unstoppable,2018,"Crime,Action,Thriller"
Case 39,2009,"Horror,Mystery,Thriller"
¡Vaya vacaciones!,2023,Comedy
Cats & Dogs,2001,"Family,Comedy"
Cinderella,2021,"Fantasy,Romance,Comedy"
Notre-Dame on Fire,2022,"Drama,Thriller"
The Hating Game,2021,"Romance,Comedy"
Blindsided: The Game,2018,"Comedy,Action,Drama"
Naruto to Boruto: The Live 2019,2019,Animation
American Underdog,2021,Drama
Cool World,1992,"Animation,Comedy,Fantasy"
Pandorum,2009,"Action,Horror,Mystery,Science Fiction,Thriller"
The Other Woman,2014,"Comedy,Romance"
Mortal Kombat: Annihilation,1997,"Action,Fantasy,Science Fiction"
Stargate,1994,"Action,Adventure,Science Fiction"
A Jazzman's Blues,2022,"Drama,Romance"
Ghost Ship,2002,"Horror,Mystery,Thriller"
Monster-in-Law,2005,"Romance,Comedy"
Flavors of Youth,2018,"Animation,Romance,Drama"
Night Teeth,2021,"Horror,Thriller,Action"
Bodies Bodies Bodies,2022,"Comedy,Horror,Mystery"
Inheritance,2020,Thriller
Pokémon the Movie: The Power of Us,2018,"Animation,Family,Adventure,Fantasy"
Water and Fire,2013,"Drama,Romance"
Hilda and the Mountain King,2021,"Animation,Adventure,Fantasy,Family,TV Movie"
The Deep End of the Ocean,1999,"Drama,Mystery"
Zombie Wars,2007,Horror
Tad the Lost Explorer and the Secret of King Midas,2017,"Animation,Adventure,Comedy,Family"
Mrs. Harris Goes to Paris,2022,"Drama,Comedy"
Demolition Man,1993,"Crime,Action,Science Fiction"
Love Hard,2021,"Comedy,Romance"
The House of the Spirits,1993,"Romance,Drama"
Austin Powers: International Man of Mystery,1997,"Science Fiction,Comedy,Crime"
Tomorrow Never Dies,1997,"Adventure,Action,Thriller"
Rain Man,1988,Drama
Body Snatchers,1993,"Horror,Science Fiction,Thriller"
Tenacious D in The Pick of Destiny,2006,"Comedy,Music"
Layer Cake,2004,"Drama,Thriller,Crime"
The Town of Ghosts,2022,"Thriller,Horror"
The Protector 2,2013,Action
Messi,2014,Documentary
A Classic Horror Story,2021,"Horror,Mystery"
Attraction,2017,"Drama,Romance,Science Fiction,Adventure"
The Legend of Halloween Jack,2018,Horror
Land of the Lost,2009,"Adventure,Comedy,Science Fiction"
Changeling,2008,"Crime,Drama,Mystery"
Three Sexy Meals,2016,"Drama,Romance"
Eraser,1996,"Action,Drama,Mystery,Thriller"
The Dirt,2019,"Drama,Music,History,Comedy"
Goosebumps 2: Haunted Halloween,2018,"Adventure,Comedy,Fantasy,Family,Horror"
Rurouni Kenshin Part I: Origins,2012,"Adventure,Action,Drama,History"
Sleepers,1996,"Crime,Drama,Thriller"
Robbing Mussolini,2022,"Action,Adventure,Comedy,Crime,War"
Sick,2022,"Horror,Thriller"
We Are the Nobles,2013,Comedy
Hitch,2005,"Comedy,Drama,Romance"
Twin Dragons,1992,"Comedy,Action"
Fallen,1998,"Crime,Drama,Action,Thriller,Horror"
I'm No Longer Here,2019,Drama
Cosmic Chant. Niño de Elche,2022,Documentary
The Family Stone,2005,"Comedy,Drama,Romance"
Battle Royale,2000,"Drama,Thriller,Action"
Fate/stay night: Heaven's Feel I. Presage Flower,2017,"Action,Animation,Drama,Fantasy,Romance"
Hotel Paradise,1980,"Drama,Action,Adventure"
42,2013,Drama
[REC]⁴ Apocalypse,2014,"Thriller,Horror"
Deadstream,2022,"Horror,Comedy"
La Abuela (The Grandmother),2022,"Drama,Horror"
The Hunchback of Notre Dame II,2002,"Animation,Family,Comedy"
Operation Red Sea,2018,"Action,Thriller,War,Drama"
Utama,2022,Drama
Iron Sky,2012,"Action,Comedy,Science Fiction"
Pelé: Birth of a Legend,2016,Drama
Jack and Jill,2011,Comedy
Friday the 13th Part 2,1981,Horror
Dirty Dancing,1987,"Drama,Music,Romance"
Foxter and Max,2019,"Adventure,Fantasy,Family"
Mean Girls 2,2011,Comedy
El día de los albañiles 2,1985,Comedy
Children of the Corn,1984,"Horror,Thriller"
Pokémon 3: The Movie,2000,"Adventure,Fantasy,Animation,Action,Family"
Samson,2018,"Action,Drama,Adventure"
Ride Along,2014,"Action,Comedy"
Violet Evergarden: Eternity and the Auto Memory Doll,2019,"Drama,Fantasy,Animation"
Hoosiers,1986,"Drama,Family"
The Brothers Grimm,2005,"Adventure,Fantasy,Action,Comedy,Thriller"
Gran Torino,2008,Drama
Beowulf,2007,"Adventure,Action,Animation"
Nix,2022,"Horror,Thriller"
Gorgeous,1999,"Adventure,Action,Comedy,Romance"
Breach,2020,"Science Fiction,Action,Horror"
Kung Fu Jungle,2014,"Action,Thriller,Crime"
The Young Messiah,2016,"Drama,History"
Hanu-Man,2024,"Fantasy,Action,Comedy,Science Fiction"
Cellular,2004,"Action,Thriller"
"Crouching Tiger, Hidden Dragon",2000,"Adventure,Drama,Action,Romance"
Big Daddy,1999,"Comedy,Drama"
Pandora,2016,"Thriller,Drama,Action"
1408,2007,"Horror,Mystery"
Born in China,2016,Documentary
Accepted,2006,Comedy
Pitch Perfect 3,2017,"Comedy,Music"
Fearless,2006,"Drama,Action"
Children Who Chase Lost Voices,2011,"Animation,Adventure,Drama,Fantasy,Romance"
Beckett,2021,"Crime,Mystery,Thriller"
Champions,2018,"Drama,Comedy"
Ultimate Iron Man: The Making of Iron Man 2,2010,Documentary
The Indian in the Cupboard,1995,"Adventure,Family,Fantasy"
Sword Art Online: The Movie – Ordinal Scale,2017,"Animation,Action,Adventure,Fantasy,Romance,Science Fiction"
Leprechaun 3,1995,"Comedy,Horror"
The Rundown,2003,"Adventure,Action,Comedy,Thriller"
Bedtime Stories,2008,"Fantasy,Comedy,Family,Romance"
Frankenweenie,2012,"Animation,Comedy,Family"
Final: The Rapture,2013,Thriller
Sinkhole,2021,"Comedy,Drama"
Capernaum,2018,Drama
Three Steps Over Heaven,2004,"Drama,Romance"
Lamb,2021,"Drama,Fantasy,Horror"
Ghostbusters II,1989,"Comedy,Fantasy"
FOMO,2022,"Horror,Action"
Upon the Magic Roads,2021,"Adventure,Fantasy"
Lady Chatterley's Lover,2022,"Drama,Romance"
The Wrong Missy,2020,"Comedy,Romance"
Fighting Spirit: Champion Road,2003,"Animation,Action,Comedy"
Love Island (Fire Island),2022,"Horror,Thriller"
You Hurt My Feelings,2023,"Comedy,Drama,Romance"
Eye for an Eye,1996,"Thriller,Crime"
The Drop,2014,"Drama,Crime"
To All the Boys: Always and Forever,2021,"Romance,Comedy,Drama"
Unleashed,2005,"Action,Crime"
The Rugrats Movie,1998,"Family,Animation,Comedy,Adventure"
The Life Aquatic with Steve Zissou,2004,"Adventure,Comedy,Drama"
The Treacherous,2015,"Drama,History"
The Mountain Between Us,2017,"Romance,Adventure,Drama"
"Icare, ou la mesure des choses",2022,Documentary
Y Tu Mamá También,2001,"Drama,Romance"
The Hunt for Red October,1990,"Action,Adventure,Thriller"
The Boxtrolls,2014,"Animation,Comedy,Family,Fantasy"
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,2021,Animation
Gantz,2010,"Horror,Action,Science Fiction"
Despicable Me Presents: Minion Madness,2010,"Family,Adventure,Animation,Comedy"
"Girl, Interrupted",1999,Drama
Dino King: Journey to Fire Mountain,2019,"Animation,Adventure"
P.S. I Love You,2007,"Drama,Romance"
A Cure for Wellness,2017,"Horror,Mystery,Science Fiction,Thriller"
New Nightmare,1994,"Horror,Mystery,Fantasy"
Jumper,2008,"Action,Adventure,Science Fiction"
The Machinist,2004,"Thriller,Drama"
Holy Spider,2022,"Crime,Drama,Thriller"
State of Play,2009,"Thriller,Drama,Mystery"
The Calm Beyond,2020,"Science Fiction,Thriller"
After We Leave,2019,"Science Fiction,Drama"
A Perfect Pairing,2022,"Comedy,Romance"
Lawless,2012,"Crime,Drama,Western"
New Tokyo Decadence The Slave,2007,Drama
The Sorcerer and the White Snake,2011,"Action,Fantasy"
Nayola,2023,"Animation,Drama"
Prospect,2018,Science Fiction
The Legion,2020,"Adventure,History,Action"
The Girl on a Bulldozer,2022,"Mystery,Drama"
Curious George,2006,"Adventure,Animation,Comedy,Family"
A Boat in the Garden,2024,"Animation,Drama,Family"
Veronica,2017,Horror
Survivor,2015,"Crime,Action,Thriller"
Klaus,2019,"Animation,Family,Adventure,Comedy,Fantasy"
The Holiday,2006,"Comedy,Romance"
Sky High,2005,"Adventure,Comedy,Family"
Police Story,1985,"Action,Crime,Thriller"
Parker,2013,"Action,Crime"
The Knight Before Christmas,2019,"Comedy,Romance"
Dennis the Menace,1993,"Family,Comedy"
Fat Ass Zombies,2020,"Horror,Comedy"
Max,2015,"Adventure,Drama"
Astérix at the Olympic Games,2008,"Fantasy,Adventure,Comedy,Family"
The Blaze,2023,"Drama,Action,Thriller"
Hardcore Henry,2015,"Action,Adventure,Science Fiction"
Cashback,2006,"Drama,Comedy,Romance"
Swallow,2021,"Drama,History,Thriller,Crime"
Amityville II: The Possession,1982,Horror
Mike and Dave Need Wedding Dates,2016,Comedy
Dragons: Dawn Of The Dragon Racers,2014,"Animation,Family,Adventure,Comedy,Fantasy"
Lady and the Tramp II: Scamp's Adventure,2001,"Family,Animation,Romance,Adventure"
Maya the Bee: The Golden Orb,2021,"Adventure,Animation,Family"
West Side Story,2021,"Drama,Romance,Crime"
Dhamaka,2021,"Thriller,Drama,Crime"
Cold Skin,2017,"Horror,Fantasy,Drama"
Reminiscence,2021,"Mystery,Science Fiction"
21,2008,"Drama,Crime"
Graveyard Shift,1990,Horror
Bad Girl Boogey,2022,Horror
The 8th Night,2021,"Mystery,Thriller,Horror"
Young Mother's Friend,2018,Romance
Wild Child,2008,"Comedy,Drama,Romance"
Moulin Rouge!,2001,"Drama,Romance,Music"
Kingsglaive: Final Fantasy XV,2016,"Animation,Science Fiction,Action"
Rage,2014,"Action,Crime,Thriller"
Contraband,2012,"Thriller,Action,Drama,Crime"
Glass Houses,2020,"Thriller,TV Movie"
The Last King,2016,"Action,Adventure,Drama,History"
"Legally Blonde 2: Red, White & Blonde",2003,"Comedy,Romance"
Das Boot,1981,"Drama,History,War"
Black and Blue,2019,"Drama,Action,Thriller"
Superman/Batman: Apocalypse,2010,"Science Fiction,Action,Adventure,Animation,Family"
Busty Cops: Protect and Serve!,2009,"Comedy,Crime,Mystery,Romance"
The World's End,2013,"Comedy,Action,Science Fiction"
Stillwater,2021,"Drama,Crime,Thriller"
Friends: The Reunion,2021,Documentary
Honey 2,2011,"Music,Comedy,Drama"
Anaconda 3: Offspring,2008,"Horror,Fantasy,Action,Adventure,TV Movie"
Melissa P.,2005,Drama
Crash,1996,Drama
The Mule,2018,"Crime,Drama,Thriller"
"Dude, Where's My Car?",2000,"Comedy,Science Fiction"
Ken Park,2002,Drama
Star Wars: The Clone Wars,2008,"Animation,Action,Science Fiction,Adventure"
Flight of the Navigator,1986,"Family,Science Fiction,Adventure"
Barbie & Her Sisters in A Pony Tale,2013,"Animation,Family"
Kill Boksoon,2023,"Action,Thriller,Adventure"
The Divine Fury,2019,"Action,Horror"
Michael Jackson: The Life of an Icon,2011,Documentary
Coyote Ugly,2000,"Comedy,Drama,Music,Romance"
Ong Bak 3,2010,"Action,Adventure,History"
Crazy About Work,2018,Comedy
Inside Llewyn Davis,2013,"Drama,Music"
Police Story 3: Super Cop,1992,"Action,Crime,Thriller"
Star Trek IV: The Voyage Home,1986,"Science Fiction,Adventure"
Four Weddings and a Funeral,1994,"Comedy,Drama,Romance"
EO,2022,Drama
Zindagi Jhand Hai,2020,"Romance,Thriller"
Dos más dos,2022,Comedy
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,"Action,Adventure,Animation,Drama"
Daddy's Home,2015,Comedy
Polar,2019,"Action,Crime,Drama"
Romancing the Stone,1984,"Adventure,Action,Romance,Comedy"
Death Note Relight 1: Visions of a God,2007,"TV Movie,Crime,Drama,Fantasy,Thriller,Animation"
The House of Flowers: The Movie,2021,Drama
Over the Moon,2020,"Animation,Adventure,Family,Fantasy"
Dad to the Rescue,2023,"Comedy,Drama"
The Return of the Texas Chainsaw Massacre,1995,"Horror,Comedy"
Sex Doll,2016,"Drama,Thriller,Mystery"
Mickey's Tale of Two Witches,2021,Animation
Walking Tall,2004,"Adventure,Drama,Action,Thriller"
Romeo Must Die,2000,"Action,Crime,Thriller"
Barbie: Fairytopia,2005,"Animation,Family"
The Final,2010,"Thriller,Horror"
Hello Mary Lou: Prom Night II,1987,"Horror,Fantasy,Thriller"
Mia and the White Lion,2018,"Adventure,Family,Drama"
Poltergeist,1982,Horror
Barbie in 'A Christmas Carol',2008,"Animation,Family"
Jailer,2023,"Action,Crime,Thriller"
Harry Potter: Different Perspective,2021,Fantasy
Replicas,2018,"Science Fiction,Thriller,Drama"
Justice League vs. Teen Titans,2016,"Science Fiction,Action,Animation"
Doraemon: New Nobita's Great Demon – Peko and the Exploration Party of Five,2014,"Family,Animation,Adventure"
Female Teacher: In Front of the Students,1982,"Drama,Mystery"
The Virtuoso,2021,"Thriller,Crime"
Till Death,2021,"Horror,Thriller"
The Cloverfield Paradox,2018,"Horror,Science Fiction,Action,Thriller"
Midnight in the Switchgrass,2021,"Crime,Mystery,Thriller,Action"
Fast & Feel Love,2022,"Comedy,Romance,Action"
Along for the Ride,2022,"Romance,Drama"
The Villainess,2017,"Action,Crime,Drama,Thriller"
Adore,2013,Drama
The Sandlot,1993,"Family,Comedy"
Valiant Hearts,2022,Drama
Tune in for Love,2019,"Romance,Drama"
Boss Level,2021,"Action,Science Fiction,Thriller"
AINBO: Spirit of the Amazon,2021,"Adventure,Animation,Family,Fantasy"
Spy,2015,"Action,Comedy,Crime"
Twister,1996,"Action,Adventure,Drama"
Push,2009,"Science Fiction,Action,Adventure,Thriller"
Problem Child 2,1991,Comedy
Force of Nature: The Dry 2,2024,Thriller
Cloud Atlas,2012,"Drama,Science Fiction"
Trick 'r Treat,2007,"Horror,Comedy"
The Cold Light of Day,2012,"Action,Thriller,Mystery"
Stranded,2021,Drama
Paranormal Movie,2013,Comedy
The Smurfs: A Christmas Carol,2011,"Comedy,Family,Animation"
The Dresden Sun,2023,Science Fiction
Ben 10: Secret of the Omnitrix,2007,"Animation,Science Fiction,Family"
Crash,2005,Drama
Single Mother by Choice,2021,"Comedy,Drama"
30 Minutes or Less,2011,"Action,Adventure,Comedy"
The Dam,2023,"Mystery,Drama"
The Grudge,2004,"Horror,Mystery,Thriller"
Sekaiichi Hatsukoi Movie,2014,"Animation,Romance,Drama"
Champions,2023,Comedy
Simulant,2023,"Science Fiction,Thriller"
Family Practice,2019,Drama
To the Bone,2017,Drama
Tidal Wave,2009,"Action,Drama,Thriller"
Three Christs,2017,Drama
Boy Bastos,2022,"Comedy,Romance"
Once Upon a Time in Brooklyn,2013,"Crime,Action"
My Stepmother Is an Alien,1988,"Comedy,Science Fiction"
The Three Musketeers,2011,"Adventure,Action,Thriller"
Rite of Passage: The Amazing Spider-Man Reborn,2012,Documentary
Grand Isle,2019,"Thriller,Action"
The Haunting in Connecticut 2: Ghosts of Georgia,2013,"Horror,Drama,Thriller"
Rosaline,2022,"Comedy,Romance"
Jack Frost,1998,"Comedy,Family,Drama,Fantasy"
One Piece: Episode of Luffy - Hand Island Adventure,2012,"Action,Animation,Adventure,Comedy,Drama"
The Son of Bigfoot,2017,"Family,Animation,Comedy"
Chapo: El Escape Del Siglo,2016,"Thriller,Action,Adventure,Crime"
7 Prisoners,2021,Drama
Ride Along 2,2016,"Action,Comedy"
Animal Instincts,1992,"Drama,Thriller"
Splash,1984,"Comedy,Fantasy,Romance"
The Girl Who Leapt Through Time,2006,"Fantasy,Animation,Drama,Science Fiction"
Bicentennial Man,1999,"Science Fiction,Comedy,Drama"
Domingo and the Mist,2023,"Drama,Fantasy"
The Bad Seed,2018,"Drama,Horror,Thriller"
Born a Champion,2021,"Action,Drama"
Hostage,2005,"Action,Thriller,Crime"
Kangaroo Jack,2003,"Family,Comedy,Adventure,Crime"
Bharatha Circus,2022,"Crime,Thriller"
Mickey's House of Villains,2002,"Family,Animation,Comedy"
The Spy Next Door,2010,"Action,Comedy,Family"
Miss Meadows,2014,Drama
Wind River,2017,"Crime,Drama,Mystery,Thriller"
Double Take,2001,"Adventure,Drama,Action,Comedy,Romance"
Freaky,2020,"Comedy,Fantasy,Horror,Thriller"
Secret Magic Control Agency,2021,"Animation,Comedy,Fantasy"
Tom and Jerry & The Wizard of Oz,2011,"Family,Animation,Comedy,Fantasy"
The Count of Monte Cristo,2002,"Adventure,Drama,History"
Shadow in the Cloud,2020,"Horror,Action,War"
Kabhi Alvida Naa Kehna,2006,"Drama,Romance"
The Greatest Beer Run Ever,2022,"Drama,Comedy,War,History"
Wolf Warrior,2015,"Action,War"
Illang: The Wolf Brigade,2018,"Science Fiction,Action,Thriller,Drama"
Shanghai Noon,2000,"Adventure,Action,Comedy,Western"
Thorn of War,2021,"Action,War"
Sinister Stepsister,2022,Thriller
Your Eyes Tell,2020,"Romance,Drama"
Justin Bieber: Our World,2021,"Music,Documentary"
Bethany,2017,Horror
Ida Red,2021,"Crime,Thriller,Drama,Action"
47 Meters Down: Uncaged,2019,"Horror,Drama,Adventure"
The Good Nurse,2022,"Drama,Crime,Mystery"
Gantz:O,2016,"Science Fiction,Action,Animation"
Police Academy 2: Their First Assignment,1985,"Comedy,Crime"
Empire State,2013,"Action,Drama"
24 Hr Sunshine,2023,"Comedy,Drama"
Feels Like Euphoria,2017,"Drama,Romance"
Against the Ice,2022,"Drama,Adventure,History"
Winnie the Pooh: A Valentine for You,1999,"Animation,Family"
Drumline,2002,"Drama,Romance,Comedy,Music"
Valkyrie,2008,"Drama,Thriller,War"
Kicks,2016,"Drama,Crime,Action"
The Reader,2008,"Drama,Romance"
Hidden Dragon,2023,"Animation,Action,Adventure,Fantasy"
For a Fistful of Fries,2022,Documentary
Lethal Weapon 3,1992,"Adventure,Action,Comedy,Thriller,Crime"
Portrait of a Lady on Fire,2019,"Drama,Romance"
Vampire Hunter D: Bloodlust,2000,"Animation,Fantasy,Horror,Action"
Detetive Madeinusa,2021,Comedy
Boogie Nights,1997,Drama
Fear the Walking Dead: Dead in the Water,2022,"Action,Horror"
Me casé con un idiota,2022,Comedy
Flashback,2020,Thriller
Chelsea FC - Season Review 2021/22,2022,Documentary
Sulle nuvole,2022,"Drama,Romance"
The Dictator,2012,Comedy
Scooby-Doo! and the Loch Ness Monster,2004,"Family,Adventure,Animation,Comedy,Fantasy,Mystery"
Halloween 5: The Revenge of Michael Myers,1989,"Horror,Thriller"
The Last 10 Years,2022,"Drama,Romance"
Day Off,2023,"Drama,Comedy"
Double Vision,2002,"Mystery,Action,Thriller,Horror"
Superman IV: The Quest for Peace,1987,"Action,Adventure,Science Fiction"
Vico C: The Life of a Philosopher,2017,Drama
Emmanuelle in Hong Kong,2003,Drama
Speak No Evil,2022,"Horror,Thriller,Drama"
Jack Black: Spider-Man,2002,Comedy
Dragon Ball: Goku's Traffic Safety,1988,Animation
Enemy,2013,"Thriller,Mystery"
Mirrors,2008,"Horror,Mystery,Thriller,Drama,Fantasy"
Money Monster,2016,"Thriller,Drama"
Asterix & Obelix Take on Caesar,1999,"Family,Adventure,Comedy,Fantasy"
No Half Measures: Creating the Final Season of Breaking Bad,2013,Documentary
3096 Days,2013,Drama
Juno,2007,"Comedy,Drama,Romance"
Marmaduke,2010,"Family,Comedy"
Sexo explícito,2013,Drama
Batman vs Teenage Mutant Ninja Turtles,2019,"Animation,Action,Family"
Bullet to the Head,2013,"Action,Crime,Thriller"
Vanilla Sky,2001,"Mystery,Science Fiction,Drama,Romance,Fantasy,Thriller"
Scooby-Doo! Return to Zombie Island,2019,"Fantasy,Animation,Family,Adventure,Comedy,Mystery,Horror"
Paranormal Activity: Next of Kin,2021,"Horror,Mystery"
The Rental,2020,Horror
Erotic Passion,1981,"Crime,Drama"
Dream Scenario,2023,"Comedy,Fantasy"
American Horror House,2012,Horror
Widows,2018,"Crime,Thriller"
Sadako,2019,Horror
Secret Window,2004,"Mystery,Thriller"
Scary Stories to Tell in the Dark,2019,"Horror,Thriller"
Magic Mike XXL,2015,"Comedy,Drama"
Alanis,2017,Drama
We Were Soldiers,2002,"Action,History,War"
Ninja Scroll,1993,"Fantasy,Adventure,Animation"
Monster High: Haunted,2015,"Animation,Family,Fantasy"
Deep,2021,"Science Fiction,Thriller"
High School Musical,2006,"Comedy,Drama,Family,Music,Romance,TV Movie"
Luka,2023,Drama
Pokémon the Movie: Genesect and the Legend Awakened,2013,"Action,Adventure,Animation,Family"
Excalibur,1981,"Adventure,Fantasy"
Tango & Cash,1989,"Action,Adventure,Comedy,Thriller"
Sniper: Special Ops,2016,"Action,War"
The Reunion for Swapping,2020,Romance
What Men Want,2019,"Comedy,Romance"
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",2008,"Action,Animation,Adventure,Comedy"
Girls Trip,2017,Comedy
Happy Death Day,2017,"Horror,Mystery,Comedy"
Copshop,2021,"Thriller,Crime,Action"
Madly Madagascar,2013,"Animation,Comedy,Family"
Dark Shadows,2012,"Comedy,Fantasy"
The Guilty,2021,"Drama,Thriller"
A-X-L,2018,"Science Fiction,Action,Adventure,Family"
The Adventures of Pinocchio,1996,"Family,Fantasy,Adventure,Drama"
Bad Sister,2015,"Thriller,TV Movie"
From Dusk Till Dawn 2: Texas Blood Money,1999,"Crime,Action,Horror,Thriller"
Date Night,2010,"Comedy,Action,Adventure"
Beverly Hills Cop,1984,"Action,Comedy,Crime"
To Each His Own Cinema,2007,"Comedy,Drama"
An American Pickle,2020,"Comedy,Drama"
Below Zero,2021,"Action,Crime,Thriller"
Cosmic Sex,2015,"Drama,Romance"
A Boy Called Christmas,2021,"Family,Adventure,Fantasy"
Kuroko's Basketball the Movie: Last Game,2017,Animation
Batman: The Killing Joke,2016,"Action,Animation,Crime,Drama"
La Pampa,2022,Drama
La ciudad perdida,2005,Documentary
Inherent Vice,2014,"Drama,Mystery,Comedy"
Wedding Crashers,2005,"Comedy,Romance"
Escape Room,2019,"Horror,Thriller,Mystery"
Last Sister Class,2020,"Drama,Romance"
College Girls' Massage Parlor,2020,"Drama,Romance"
Toxic,2020,"Thriller,Science Fiction"
Little Children,2006,"Drama,Romance"
